Company Name,,LTP (Last Traded Price),52 Week High,52 Week Low
Reliance Industries,,2955.1,"3,029.00","2,220.30"
Tata Consultancy Services,,3832.05,"4,254.75","3,173.00"
HDFC Bank,,1596.9,"1,757.50","1,363.55"
Bharti Airtel,,1427.4,"1,455.95",819.00
ICICI Bank,,1105.65,"1,173.00",899.00
State Bank of India,,839.2,912.00,543.20
LIC of India,,1066.85,"1,175.00",595.05
Infosys,,1488.9,"1,733.00","1,262.25"
Hindustan Unilever,,2479.75,"2,769.65","2,172.05"
ITC,,431.15,499.70,399.35
Larsen & Toubro,,3687.8,"3,919.90","2,340.00"
Bajaj Finance,,7341.55,"8,192.00","6,187.80"
Maruti Suzuki,,12845.2,"13,073.95","9,254.15"
HCL Technologies,,1431.05,"1,697.35","1,087.05"
Adani Enterprises,,3261.75,"3,743.90","2,142.00"
Axis Bank,,1181.05,"1,242.20",927.15
Sun Pharmaceutical,,1516,"1,638.85",977.30
Tata Motors,,993.4,"1,065.60",557.70
NTPC,,368.45,393.20,183.35
Mahindra & Mahindra,,2928.6,"2,886.00","1,366.00"
Adani Enterprises,,3261.75,"3,743.90","2,142.00"
Axis Bank,,1181.05,"1,242.20",927.15
Adani Ports & SEZ,,1430.7,"1,621.40",703.00
Avenue Supermarts DMart,,4739.95,"4,924.20","3,491.25"
Adani Power,,746.75,895.85,231.00
Adani Green Energy,,1806.3,"2,174.10",815.55
Asian Paints,,2921.6,"3,568.00","2,670.10"
ABB,,9020,"8,765.00","3,850.00"
Ambuja Cements,,677.2,680.45,404.05
Adani Energy Solutions,,1019.8,"1,250.00",686.00
Adani Total Gas,,946.5,"1,259.40",522.00
Apollo Hospitals,,6207.6,"6,874.45","4,726.00"
Aurobindo Pharma,,1259,"1,292.10",665.75
Ashok Leyland,,239.84,241.50,154.25
Aditya Birla Capital,,239.96,243.70,155.00
Alkem Laboratories,,5101.95,"5,578.80","3,307.20"
Astral,,2269.45,"2,352.00","1,740.00"
Abbott,,27464.9,"29,638.95","21,919.55"
AU Small Finance Bank,,661.25,813.40,553.70
ACC,,2661.7,"2,746.40","1,754.00"
Coal India,,486.95,527.40,223.25
Cipla,,1564.75,"1,551.00",972.60
Cholamandalam Investment,,1447,"1,439.95",997.25
Cummins,,3825.6,"3,900.00","1,653.30"
CG Power & Industrial Solutions,,688.8,700.00,359.20
Colgate Palmolive,,2952.6,"3,069.05","1,625.00"
Container Corporation of India,,1139.85,"1,180.00",629.20
Central Bank of India,,65.43,76.90,26.55
Cochin Shipyard,,2122.35,"2,100.00",272.50
Coromandel International,,1508.8,"1,505.90",913.55
Coforge,,5201.75,"6,847.45","4,287.25"
Carborundum Universal,,1773.95,"1,800.00","1,025.60"
CRISIL,,4111.25,"5,268.50","3,660.70"
Crompton Greaves,,426.55,426.40,261.25
Century Textile & Industries,,2245.45,"2,278.85",784.00
Cholamandalam Financial Holdings,,1287.85,"1,296.00",855.55
Credit Access Grameen,,1475.2,"1,796.00","1,168.70"
CIE Automotive,,569.55,586.90,406.80
CDSL,,2114.8,"2,239.00",985.00
Cyient,,1889.65,"2,458.95","1,392.10"
DLF,,878.6,967.60,463.05
Divis Laboratories,,4588.6,"4,617.00","3,295.30"
Dabur,,608.65,633.40,489.20
Dr Reddys Laboratories,,6085.25,"6,505.90","4,685.00"
Dixon Technologies,,11242.85,"10,888.80","3,953.00"
Dalmia Bharat,,1882.35,"2,430.70","1,651.40"
Deepak Nitrite,,2413.7,"2,619.80","1,900.20"
Delhivery,,406.45,488.00,354.20
Dr. Lal Path Labs,,2750.2,"2,889.00","1,943.70"
Devyani International,,178.39,227.50,142.25
DCM Shriram Consolidated,,1040.6,"1,175.00",826.30
Data Patterns,,2936.2,"3,443.90","1,696.00"
DOMS Industries,,1923.25,"2,035.00","1,225.60"
Deepak Fertilisers & Petrochemicals,,593.6,714.70,450.00
Dhanuka Agritech,,1585.35,"1,669.90",703.35
Dilip Buildcon,,499.8,514.50,222.50
Dodla Dairy,,1044.6,"1,084.10",535.65
DB Corp,,320.95,373.30,134.05
Dynamatic Technologies,,7553.65,"9,082.90","3,400.00"
Diamond Power Infrastructure,,1022.45,"1,084.10",22.20
DLF,,878.6,967.60,463.05
Divis Laboratories,,4588.6,"4,617.00","3,295.30"
Dabur,,608.65,633.40,489.20
Dr Reddys Laboratories,,6085.25,"6,505.90","4,685.00"
Dixon Technologies,,11242.85,"10,888.80","3,953.00"
Dalmia Bharat,,1882.35,"2,430.70","1,651.40"
Deepak Nitrite,,2413.7,"2,619.80","1,900.20"
Delhivery,,406.45,488.00,354.20
Dr. Lal Path Labs,,2750.2,"2,889.00","1,943.70"
Devyani International,,178.39,227.50,142.25
DCM Shriram Consolidated,,1040.6,"1,175.00",826.30
Data Patterns,,2936.2,"3,443.90","1,696.00"
DOMS Industries,,1923.25,"2,035.00","1,225.60"
Deepak Fertilisers & Petrochemicals,,593.6,714.70,450.00
Dhanuka Agritech,,1585.35,"1,669.90",703.35
Dilip Buildcon,,499.8,514.50,222.50
Dodla Dairy,,1044.6,"1,084.10",535.65
DB Corp,,320.95,373.30,134.05
Dynamatic Technologies,,7553.65,"9,082.90","3,400.00"
Diamond Power Infrastructure,,1022.45,"1,084.10",22.20
Eicher Motors,,4935.1,"4,908.00","3,160.00"
Escorts Kubota,,4292.1,"4,260.45","2,117.20"
Exide Industries,,542.25,549.90,206.20
Endurance Technologies,,2694.1,"2,585.00","1,510.15"
Emami,,710,762.00,373.70
EIH Hotels,,442.45,502.20,203.30
Elgi Equipments,,687.7,714.20,463.00
Elecon Engineering Company,,1321.65,"1,355.50",544.00
Engineers India,,265.7,289.90,107.50
Eris Lifesciences,,1008.8,"1,053.90",649.00
EID Parry,,728,733.30,452.35
Equitas Small Finance Bank,,101.79,116.50,80.10
Electrosteel Castings,,172.11,208.00,53.50
Electronics Mart,,240.19,250.00,75.95
ESAB India,,5915.05,"6,585.95","3,855.85"
Easy Trip Planners,,42.23,54.00,37.00
Edelweiss Financial Services,,69.99,87.80,43.70
Ethos,,2519.55,"3,044.00","1,266.20"
Essel Propack,,195.66,236.15,169.60
Epigral,,1335.15,"1,443.25",872.10
Fertilisers & Chemical Travancore,,779.9,908.00,326.00
Federal Bank,,174.4,175.10,121.00
Fortis Healthcare,,502.25,489.00,284.30
Finolex Cables,,1594.55,"1,595.00",780.50
Five Star Business Finance,,809.9,876.55,590.00
Finolex Industries,,332.45,355.90,170.05
Firstsource Solutions,,203.41,228.90,122.15
Fine Organic Industries,,4673.45,"5,164.90","4,021.00"
