Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Reliance Industries,"2,955.10","3,029.00","2,220.30"
Tata Consultancy Services,"3,832.05","4,254.75","3,173.00"
HDFC Bank,"1,596.90","1,757.50","1,363.55"
Bharti Airtel,"1,427.40","1,455.95",819.00
ICICI Bank,"1,105.65","1,173.00",899.00
State Bank of India,839.20,912.00,543.20
LIC of India,"1,066.85","1,175.00",595.05
Infosys,"1,488.90","1,733.00","1,262.25"
Hindustan Unilever,"2,479.75","2,769.65","2,172.05"
ITC,431.15,499.70,399.35
Larsen & Toubro,"3,687.80","3,919.90","2,340.00"
Bajaj Finance,"7,341.55","8,192.00","6,187.80"
Maruti Suzuki,"12,845.20","13,073.95","9,254.15"
HCL Technologies,"1,431.05","1,697.35","1,087.05"
Adani Enterprises,"3,261.75","3,743.90","2,142.00"
Axis Bank,"1,181.05","1,242.20",927.15
Sun Pharmaceutical,"1,516.00","1,638.85",977.30
Tata Motors,993.40,"1,065.60",557.70
NTPC,368.45,393.20,183.35
Mahindra & Mahindra,"2,928.60","2,886.00","1,366.00"
Adani Enterprises,"3,261.75","3,743.90","2,142.00"
Axis Bank,"1,181.05","1,242.20",927.15
Adani Ports & SEZ,"1,430.70","1,621.40",703.00
Avenue Supermarts DMart,"4,739.95","4,924.20","3,491.25"
Adani Power,746.75,895.85,231.00
Adani Green Energy,"1,806.30","2,174.10",815.55
Asian Paints,"2,921.60","3,568.00","2,670.10"
ABB,"9,020.00","8,765.00","3,850.00"
Ambuja Cements,677.20,680.45,404.05
Adani Energy Solutions,"1,019.80","1,250.00",686.00
Adani Total Gas,946.50,"1,259.40",522.00
Apollo Hospitals,"6,207.60","6,874.45","4,726.00"
Aurobindo Pharma,"1,259.00","1,292.10",665.75
Ashok Leyland,239.84,241.50,154.25
Aditya Birla Capital,239.96,243.70,155.00
Alkem Laboratories,"5,101.95","5,578.80","3,307.20"
Astral,"2,269.45","2,352.00","1,740.00"
Abbott,"27,464.90","29,638.95","21,919.55"
AU Small Finance Bank,661.25,813.40,553.70
ACC,"2,661.70","2,746.40","1,754.00"
Bharti Airtel,"1,427.40","1,455.95",819.00
Bajaj Finance,"7,341.55","8,192.00","6,187.80"
Bajaj Auto,"9,961.75","9,944.00","4,541.00"
Bajaj Finserv,"1,591.75","1,741.00","1,419.05"
Bharat Electronics,309.60,323.00,117.90
Bank of Baroda,286.25,299.70,182.65
Bharat Petroleum,626.65,687.95,331.45
Britannia Industries,"5,393.65","5,725.00","4,347.70"
Bharat Heavy Electricals,305.70,322.50,83.30
Bosch,"32,327.80","32,683.25","17,931.15"
Bajaj Holdings & Investments,"8,302.85","9,348.95","6,627.90"
Bharat Forge,"1,717.30","1,655.00",799.80
Balkrishna Industries,"3,240.60","3,283.50","2,193.80"
Berger Paints,502.70,679.75,439.00
Bank of India,125.76,157.95,69.50
Bank of Maharashtra,66.33,73.50,26.80
Bharti Airtel - PP,"1,048.70","1,078.30",429.10
Biocon,334.80,349.45,217.50
BSE,"2,758.90","3,264.70",564.65
Blue Star,"1,736.35","1,698.40",701.70
Coal India,486.95,527.40,223.25
Cipla,"1,564.75","1,551.00",972.60
Cholamandalam Investment,"1,447.00","1,439.95",997.25
Cummins,"3,825.60","3,900.00","1,653.30"
CG Power & Industrial Solutions,688.80,700.00,359.20
Colgate Palmolive,"2,952.60","3,069.05","1,625.00"
Container Corporation of India,"1,139.85","1,180.00",629.20
Central Bank of India,65.43,76.90,26.55
Cochin Shipyard,"2,122.35","2,100.00",272.50
Coromandel International,"1,508.80","1,505.90",913.55
Coforge,"5,201.75","6,847.45","4,287.25"
Carborundum Universal,"1,773.95","1,800.00","1,025.60"
CRISIL,"4,111.25","5,268.50","3,660.70"
Crompton Greaves,426.55,426.40,261.25
Century Textile & Industries,"2,245.45","2,278.85",784.00
Cholamandalam Financial Holdings,"1,287.85","1,296.00",855.55
Credit Access Grameen,"1,475.20","1,796.00","1,168.70"
CIE Automotive,569.55,586.90,406.80
CDSL,"2,114.80","2,239.00",985.00
Cyient,"1,889.65","2,458.95","1,392.10"
DLF,878.60,967.60,463.05
Divis Laboratories,"4,588.60","4,617.00","3,295.30"
Dabur,608.65,633.40,489.20
Dr Reddys Laboratories,"6,085.25","6,505.90","4,685.00"
Dixon Technologies,"11,242.85","10,888.80","3,953.00"
Dalmia Bharat,"1,882.35","2,430.70","1,651.40"
