Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Reliance Industries,"2,928.65","3,029.90","2,221.05"
Tata Consultancy Services,"3,877.50","4,254.45","3,156.20"
HDFC Bank,"1,580.90","1,757.80","1,363.45"
Bharti Airtel,"1,425.30","1,450.00",819.00
ICICI Bank,"1,107.35","1,171.55",898.85
State Bank of India,843.90,912.10,543.15
LIC of India,"1,001.80","1,175.00",595.25
Infosys,"1,494.25","1,731.00","1,262.30"
Hindustan Unilever,"2,487.55","2,768.50","2,170.25"
ITC,430.30,499.60,399.30
Larsen & Toubro,"3,704.25","3,948.60","2,340.00"
Bajaj Finance,"7,292.05","8,190.00","6,190.00"
Maruti Suzuki,"12,841.30","13,066.85","9,256.75"
HCL Technologies,"1,444.20","1,696.50","1,087.75"
Adani Enterprises,"3,224.00","3,743.00","2,153.30"
Axis Bank,"1,174.40","1,241.90",921.00
Sun Pharmaceutical,"1,509.90","1,638.70",977.50
Tata Motors,985.75,"1,065.60",557.45
NTPC,369.95,395.00,183.50
Mahindra & Mahindra,"2,864.05","2,885.00","1,366.10"
Oil & Natural Gas Corporation,276.55,292.95,155.40
Kotak Bank,"1,726.40","1,987.00","1,544.15"
Hindustan Aeronautics,"5,103.15","5,434.90","1,767.95"
UltraTech Cement,"11,182.15","11,276.05","7,940.55"
Titan,"3,471.75","3,885.00","2,882.60"
Adani Ports & SEZ,"1,404.25","1,607.95",702.85
Avenue Supermarts DMart,"4,656.35","4,916.15","3,493.05"
Coal India,487.80,527.20,223.30
Power Grid Corporation of India,321.40,346.90,177.60
Adani Power,753.85,896.75,230.95
Adani Green Energy,"1,797.95","2,173.65",816.00
Hindustan Zinc,672.45,807.00,285.00
Asian Paints,"2,907.90","3,566.90","2,671.00"
Bajaj Auto,"9,921.75","9,944.95","4,544.00"
Siemens,"7,400.50","7,464.00","3,248.00"
Bajaj Finserv,"1,590.15","1,741.85","1,419.00"
Wipro,482.40,546.10,375.00
Nestle,"2,551.25","2,770.75","2,145.28"
Indian Oil Corporation,169.10,196.80,85.51
Jio Financial Services,360.80,394.70,204.65
IRFC,175.15,199.95,32.10
Tata Steel,182.50,184.15,108.15
JSW Steel,915.50,929.80,723.15
Bharat Electronics,300.95,323.00,117.95
DLF,874.45,967.00,461.55
Varun Beverages,"1,578.80","1,596.35",754.35
ABB,"8,443.00","8,817.95","3,847.50"
Trent,"5,020.90","5,165.05","1,657.25"
Power Finance Corporation,503.55,559.50,155.44
Interglobe Aviation,"4,300.95","4,610.00","2,334.95"
Grasim Industries,"2,457.35","2,535.10","1,691.24"
Ambuja Cements,664.30,680.20,404.00
Vedanta,439.85,506.85,207.85
Zomato,184.90,207.30,72.55
Pidilite Industries,"3,078.95","3,232.30","2,293.10"
Macrotech Developers,"1,537.80","1,551.00",617.80
Hindalco Industries,680.60,714.85,407.30
LTI Mindtree,"5,045.10","6,442.65","4,518.35"
Bank of Baroda,282.65,298.45,182.65
SBI Life Insurance,"1,446.70","1,571.55","1,228.45"
Tata Power,452.20,464.30,215.65
GAIL,219.75,233.00,103.20
Godrej Consumer Products,"1,408.20","1,467.30",959.55
Punjab National Bank,126.55,142.90,49.70
Rural Electrification Corporation,521.60,607.65,150.40
Tech Mahindra,"1,390.10","1,416.00","1,069.30"
Bharat Petroleum,619.15,687.65,331.50
Eicher Motors,"4,801.15","4,907.65","3,159.20"
Britannia Industries,"5,381.90","5,725.80","4,349.95"
HDFC Life Insurance,593.55,710.60,511.10
Indian Overseas Bank,67.43,83.80,23.61
Cipla,"1,543.45","1,554.40",973.00
Divis Laboratories,"4,593.00","4,616.00","3,300.00"
Cholamandalam Investment,"1,436.70","1,440.55",997.40
Indusind Bank,"1,507.05","1,694.35","1,262.45"
Hero Motocorp,"5,814.55","5,859.00","2,746.00"
TVS Motors,"2,441.95","2,461.80","1,288.85"
JSW Energy,659.50,669.50,251.75
Havells,"1,839.00","1,986.55","1,233.10"
Samvardhana Motherson International,168.70,168.95,81.00
Adani Energy Solutions,"1,017.90","1,250.00",686.90
Union Bank of India,146.20,172.45,68.00
Canara Bank,122.00,129.35,58.29
Zydus Life Science,"1,090.30","1,171.95",515.85
Vodafone Idea,16.07,18.42,7.18
Dabur,609.60,634.00,489.00
Tata Consumer Products,"1,114.40","1,269.60",816.40
Jindal Steel,"1,040.70","1,087.90",533.55
Polycab,"7,045.90","7,106.20","3,380.40"
Bharat Heavy Electricals,303.90,322.35,83.30
Adani Total Gas,945.55,"1,259.90",521.95
Cummins,"3,712.85","3,899.95","1,590.30"
NHPC,102.30,117.80,44.36
CG Power & Industrial Solutions,667.50,698.00,359.40
Dr Reddys Laboratories,"6,095.10","6,505.50","4,685.55"
Shriram Finance,"2,684.85","2,695.60","1,705.00"
Shree Cement,"27,485.15","30,710.15","22,601.30"
Torrent Pharmaceuticals,"2,873.20","2,919.95","1,771.35"
Bosch,"32,450.25","32,671.40","17,925.40"
IDBI Bank,86.37,98.70,53.14
United Spirits,"1,276.15","1,334.05",878.50
Bajaj Holdings & Investments,"8,251.60","9,355.00","6,634.60"
Indus Towers,339.60,369.85,157.40
Mankind Pharma,"2,240.50","2,488.65","1,521.70"
Apollo Hospitals,"6,205.10","6,871.30","4,727.00"
Solar Industries,"9,748.10","10,450.00","3,456.95"
Max Healthcare Institute,890.90,916.30,509.05
ICICI Prudential Life Insurance,596.05,640.80,463.50
HDFC AMC,"3,995.85","4,184.35","1,886.00"
Godrej Properties,"3,031.70","3,049.00","1,469.70"
Oracle Financial Services Software,"9,662.85","9,735.65","3,708.50"
Indian Hotels Company,588.55,622.25,371.45
ICICI Lombard General Insurance,"1,662.45","1,747.40","1,190.05"
Tube Investment,"4,235.20","4,268.40","2,729.10"
IRCTC,"1,017.55","1,148.30",614.45
Rail Vikas Nigam,390.35,424.95,116.15
Info Edge,"6,265.30","6,545.95","3,973.15"
Colgate Palmolive,"2,938.10","3,068.95","1,625.00"
Marico,610.80,666.85,486.75
Linde,"9,264.55","9,909.00","4,227.05"
NMDC,265.25,286.35,103.85
Supreme Industries,"6,054.45","6,482.40","2,940.00"
Torrent Power,"1,597.85","1,633.10",588.75
Bharat Forge,"1,637.35","1,654.50",800.00
Prestige Estate,"1,870.70","1,910.05",521.00
Hindustan Petroleum,528.35,594.70,239.25
Yes Bank,23.81,32.81,14.10
Aurobindo Pharma,"1,254.65","1,292.15",665.65
Oil India,677.40,686.20,240.65
Lupin,"1,605.35","1,727.90",810.00
Indian Bank,541.60,626.35,275.50
Muthoot Finance,"1,792.00","1,810.20","1,140.30"
SRF,"2,398.75","2,697.45","2,050.00"
Schaeffler India,"4,525.35","4,749.30","2,616.05"
Oberoi Realty,"1,934.55","1,952.30",975.00
Container Corporation of India,"1,141.30","1,193.95",629.45
Ashok Leyland,236.80,241.50,154.05
SBI Cards,727.10,930.00,649.00
GIC of India,390.15,467.00,178.70
Mazagon Dock Shipbuilders,"3,389.05","3,478.15","1,023.60"
UCO Bank,56.95,70.66,26.15
Suzlon Energy,49.86,52.19,13.28
Jindal Stainless,815.90,840.00,317.00
Dixon Technologies,"10,856.70","10,890.10","3,954.10"
Thermax,"5,307.75","5,697.95","2,193.10"
Aditya Birla Capital,238.95,243.60,155.00
Steel Authority of India,149.60,175.65,81.85
Balkrishna Industries,"3,191.95","3,281.70","2,193.85"
Phoenix Mills,"3,426.50","3,514.95","1,508.05"
Alkem Laboratories,"5,093.60","5,581.20","3,310.00"
Astral,"2,235.15","2,351.65","1,739.25"
PB FinTech,"1,315.60","1,400.00",625.90
Abbott,"27,612.80","29,628.15","21,907.45"
Berger Paints,501.40,679.05,439.55
PERSISTENT SYSTEMS LTD.,"3,792.25","4,489.93","2,318.83"
UNO Minda,998.40,"1,064.85",551.00
Central Bank of India,65.78,76.85,26.53
Bank of India,124.50,158.00,69.41
United Breweries,"2,116.95","2,178.00","1,467.35"
HUDCO,278.95,299.90,56.91
GMR Airports Infrastructure,91.69,94.30,41.29
PI Industries,"3,641.25","4,032.00","3,060.00"
P&G Hygiene and Health Care,"16,918.45","18,783.50","13,770.05"
IDFC First Bank,77.47,100.74,70.55
Bharat Dynamics Limited,"1,490.80","1,660.00",450.50
Patanjali Foods,"1,479.50","1,741.00","1,032.00"
Tata Communications,"1,877.40","2,085.00","1,515.50"
