Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Reliance Industries,"2,930.50","3,029.00","2,220.30"
Tata Consultancy Services,"3,878.15","4,254.75","3,173.00"
HDFC Bank,"1,580.75","1,757.50","1,363.55"
Bharti Airtel,"1,425.75","1,455.95",819.00
ICICI Bank,"1,107.35","1,173.00",899.00
State Bank of India,843.90,912.00,543.20
LIC of India,"1,002.30","1,175.00",595.05
Infosys,"1,493.95","1,733.00","1,262.25"
Hindustan Unilever,"2,487.40","2,769.65","2,172.05"
ITC,430.30,499.70,399.35
Larsen & Toubro,"3,703.65","3,919.90","2,340.00"
Bajaj Finance,"7,294.95","8,192.00","6,187.80"
Maruti Suzuki,"12,846.85","13,073.95","9,254.15"
HCL Technologies,"1,444.15","1,697.35","1,087.05"
Adani Enterprises,"3,224.80","3,743.90","2,142.00"
Axis Bank,"1,174.65","1,242.20",927.15
Sun Pharmaceutical,"1,510.80","1,638.85",977.30
Tata Motors,985.85,"1,065.60",557.70
NTPC,369.95,393.20,183.35
Mahindra & Mahindra,"2,861.70","2,886.00","1,366.00"
Oil & Natural Gas Corporation,276.55,292.95,155.40
Kotak Bank,"1,726.35","1,987.75","1,543.85"
Hindustan Aeronautics,"5,099.70","5,444.00","1,767.80"
UltraTech Cement,"11,173.80","11,299.00","7,987.65"
Titan,"3,472.20","3,875.00","2,882.45"
Adani Ports & SEZ,"1,404.45","1,621.40",703.00
Avenue Supermarts DMart,"4,656.65","4,924.20","3,491.25"
Coal India,487.90,527.40,223.25
Power Grid Corporation of India,321.45,348.70,177.53
Adani Power,753.80,895.85,231.00
Adani Green Energy,"1,797.55","2,174.10",815.55
Hindustan Zinc,672.40,807.70,284.60
Asian Paints,"2,910.00","3,568.00","2,670.10"
Bajaj Auto,"9,923.40","9,944.00","4,541.00"
Siemens,"7,396.60","7,468.00","3,246.00"
Bajaj Finserv,"1,590.10","1,741.00","1,419.05"
Wipro,482.60,545.90,375.05
Nestle,"2,551.75","2,769.30","2,145.00"
Indian Oil Corporation,168.95,196.80,85.50
Jio Financial Services,360.80,394.70,202.80
IRFC,175.13,200.00,31.95
Tata Steel,182.56,184.10,108.10
JSW Steel,915.75,928.95,723.00
Bharat Electronics,300.90,323.00,117.90
DLF,874.05,967.60,463.05
Varun Beverages,"1,578.55","1,598.35",755.00
ABB,"8,446.60","8,765.00","3,850.00"
Trent,"5,023.85","5,188.00","1,657.45"
Power Finance Corporation,503.55,559.00,155.40
Interglobe Aviation,"4,302.65","4,609.80","2,333.35"
Grasim Industries,"2,458.05","2,489.75","1,689.28"
Ambuja Cements,664.50,680.45,404.05
Vedanta,439.80,506.75,208.00
Zomato,184.94,207.20,72.55
Pidilite Industries,"3,078.60","3,231.00","2,292.55"
Macrotech Developers,"1,538.75","1,552.50",621.00
Hindalco Industries,680.70,715.25,407.45
LTI Mindtree,"5,047.20","6,442.00","4,513.55"
Bank of Baroda,282.70,299.70,182.65
SBI Life Insurance,"1,449.90","1,569.40","1,227.65"
Tata Power,451.90,464.20,215.70
GAIL,219.83,233.20,103.30
Godrej Consumer Products,"1,409.30","1,467.10",959.80
Punjab National Bank,126.57,142.90,49.70
Rural Electrification Corporation,521.50,607.80,151.00
Tech Mahindra,"1,388.95","1,416.30","1,069.35"
Bharat Petroleum,619.35,687.95,331.45
Eicher Motors,"4,801.50","4,908.00","3,160.00"
Britannia Industries,"5,379.45","5,725.00","4,347.70"
HDFC Life Insurance,593.50,710.60,511.40
Indian Overseas Bank,67.42,83.75,23.70
Cipla,"1,544.55","1,551.00",972.60
Divis Laboratories,"4,593.50","4,617.00","3,295.30"
Cholamandalam Investment,"1,436.10","1,439.95",997.25
Indusind Bank,"1,507.25","1,694.50","1,262.00"
Hero Motocorp,"5,816.00","5,859.00","2,745.05"
TVS Motors,"2,441.65","2,461.00","1,289.00"
JSW Energy,659.45,668.85,251.55
Havells,"1,838.50","1,985.40","1,232.85"
Samvardhana Motherson International,168.76,169.02,81.00
Adani Energy Solutions,"1,017.65","1,250.00",686.00
Union Bank of India,146.24,172.50,68.00
Canara Bank,121.92,128.90,58.33
Zydus Life Science,"1,090.50","1,172.50",515.60
Vodafone Idea,16.07,18.40,7.15
Dabur,609.65,633.40,489.20
Tata Consumer Products,"1,114.60","1,269.00",816.00
Jindal Steel,"1,041.25","1,085.95",534.20
Polycab,"7,047.20","7,116.20","3,379.75"
Bharat Heavy Electricals,303.95,322.50,83.30
Adani Total Gas,945.80,"1,259.40",522.00
Cummins,"3,712.50","3,900.00","1,653.30"
NHPC,102.30,118.00,44.75
CG Power & Industrial Solutions,667.75,700.00,359.20
Dr Reddys Laboratories,"6,095.85","6,505.90","4,685.00"
Shriram Finance,"2,684.30","2,697.65","1,703.85"
Shree Cement,"27,490.75","30,737.75","22,605.60"
Torrent Pharmaceuticals,"2,874.90","2,918.80","1,772.05"
Bosch,"32,433.15","32,683.25","17,931.15"
IDBI Bank,86.33,98.70,53.25
United Spirits,"1,275.45","1,334.85","1,212.30"
Bajaj Holdings & Investments,"8,253.45","9,348.95","6,627.90"
Indus Towers,339.50,369.90,157.35
Mankind Pharma,"2,240.20","2,490.00","1,524.10"
Apollo Hospitals,"6,206.20","6,874.45","4,726.00"
Solar Industries,"9,739.35","10,450.00","3,453.35"
Max Healthcare Institute,890.05,914.80,508.50
ICICI Prudential Life Insurance,596.15,640.85,463.45
HDFC AMC,"3,996.15","4,186.95","1,885.55"
Godrej Properties,"3,030.75","3,047.95","1,468.90"
Oracle Financial Services Software,"9,658.00","9,760.00","3,737.25"
Indian Hotels Company,589.30,622.50,371.60
ICICI Lombard General Insurance,"1,662.70","1,747.00","1,200.10"
Tube Investment,"4,237.00","4,264.55","2,758.00"
IRCTC,"1,017.55","1,138.90",614.35
Rail Vikas Nigam,390.15,425.00,117.05
Info Edge,"6,266.70","6,545.00","3,972.05"
Colgate Palmolive,"2,936.20","3,069.05","1,625.00"
Marico,611.25,667.20,486.30
Linde,"9,278.10","9,935.05","4,280.00"
NMDC,265.35,286.35,103.80
Supreme Industries,"6,055.95","6,460.00","2,938.50"
Torrent Power,"1,597.80","1,633.10",588.10
